;Dimensão;Nome;Ponderação;Anos Disponíveis;Intervalo Aceitável 2023;Mínimo Aceitável 2023;Máximo Aceitável 2023;Intervalo Aceitável;Mínimo Aceitável 2024;Máximo Aceitável 2024;Intervalo Esperado 2023;Mínimo Esperado 2023;Máximo Esperado 2023;Intervalo Esperado;Mínimo Esperado 2024;Máximo Esperado 2024;Lable;Intervalo esperado;Intervalo aceitável;min_esperado;max_esperado;min_aceitavel;max_aceitavel;Nome abreviado;Resultado;Score;Mês Ind;Hierarquia Contratual - Área;contributo
10;Gestão da Saúde;11 - Proporção gráv. c/ consulta méd. vigil. 1º trim.;1.2;;"[85; 100]";85.0;100.0;"[85; 100]";85.0;100.0;"[91; 100]";91.0;100.0;"[91; 100]";91.0;100.0;11;"[91;100]";"[85;91[U]100;100]";91.0;100.0;85.0;100.0;Proporção gráv. c/ consulta méd. vigil. 1º trim.;88.0;1;202401.0;IDE - Desempenho;0.6
11;Gestão da Saúde;34 - Proporção obesos >=14A, c/ cons. vigil. obesid. 2A;1.2;;"[60; 100]";60.0;100.0;"[55; 100]";55.0;100.0;"[72; 100]";72.0;100.0;"[72; 100]";72.0;100.0;34;"[72;100]";"[55;72[U]100;100]";72.0;100.0;55.0;100.0;Proporção obesos >=14A, c/ cons. vigil. obesid. 2A;63.5;1;202401.0;IDE - Desempenho;0.6
12;Gestão da Saúde;45 - Prop. mulheres 25-60 anos c/ rastr. c. colo út.;1.2;;"[41; 100]";41.0;100.0;"[37; 100]";37.0;100.0;"[60; 100]";60.0;100.0;"[60; 100]";60.0;100.0;45;"[60;100]";"[37;60[U]100;100]";60.0;100.0;37.0;100.0;Prop. mulheres 25-60 anos c/ rastr. c. colo út.;48.5;1;202401.0;IDE - Desempenho;0.6
13;Gestão da Saúde;"46 - Proporção utentes [50; 75[A, c/ rastreio cancro CR";1.2;;"[45; 100]";45.0;100.0;"[45; 100]";45.0;100.0;"[67; 100]";67.0;100.0;"[65; 100]";65.0;100.0;46;"[65;100]";"[45;65[U]100;100]";65.0;100.0;45.0;100.0;"Proporção utentes [50; 75[A, c/ rastreio cancro CR";55.0;1;202401.0;IDE - Desempenho;0.6
14;Gestão da Saúde;54 - Proporção utentes consum. álcool, c/ consulta 3A;1.2;;"[40; 100]";40.0;100.0;"[40; 100]";40.0;100.0;"[60; 100]";60.0;100.0;"[60; 100]";60.0;100.0;54;"[60;100]";"[40;60[U]100;100]";60.0;100.0;40.0;100.0;Proporção utentes consum. álcool, c/ consulta 3A;50.0;1;202401.0;IDE - Desempenho;0.6
15;Gestão da Saúde;63 - Proporção crianças 7A, c/ cons. méd. vig. e PNV;1.2;;"[65; 100]";65.0;100.0;"[65; 100]";65.0;100.0;"[85; 100]";85.0;100.0;"[80; 100]";80.0;100.0;63;"[80;100]";"[65;80[U]100;100]";80.0;100.0;65.0;100.0;Proporção crianças 7A, c/ cons. méd. vig. e PNV;72.5;1;202401.0;IDE - Desempenho;0.6
16;Gestão da Saúde;95 - Proporção jovens 14A, c/ PNV cumprido ou execução;1.2;;"[95; 100]";95.0;100.0;"[90; 100]";90.0;100.0;"[95; 100]";95.0;100.0;"[95; 100]";95.0;100.0;95;"[95;100]";"[90;95[U]100;100]";95.0;100.0;90.0;100.0;Proporção jovens 14A, c/ PNV cumprido ou execução;92.5;1;202401.0;IDE - Desempenho;0.6
17;Gestão da Saúde;98 - Proporção utentes >= 25 A, c/ vacina tétano;1.2;;"[85; 100]";85.0;100.0;"[80; 100]";80.0;100.0;"[93; 100]";93.0;100.0;"[93; 100]";93.0;100.0;98;"[93;100]";"[80;93[U]100;100]";93.0;100.0;80.0;100.0;Proporção utentes >= 25 A, c/ vacina tétano;86.5;1;202401.0;IDE - Desempenho;0.6
18;Gestão da Saúde;269 - Índice de acompanham. adequado s. infantil 2º ano;1.2;;"[0.7; 1]";0.7;1.0;"[0.7; 1]";0.7;1.0;"[0.87; 1]";0.87;1.0;"[0.87; 1]";0.87;1.0;269;"[0,87;1]";"[0,7;0,87[U]1;1]";0.87;1.0;0.7;1.0;Índice de acompanham. adequado s. infantil 2º ano;0.785;1;202401.0;IDE - Desempenho;0.6
19;Gestão da Saúde;295 - Propor. puérp. 5+ cons. vig. enf. grav. e c/ RP;1.2;;"[51; 100]";51.0;100.0;"[51; 100]";51.0;100.0;"[77; 100]";77.0;100.0;"[77; 100]";77.0;100.0;295;"[77;100]";"[51;77[U]100;100]";77.0;100.0;51.0;100.0;Propor. puérp. 5+ cons. vig. enf. grav. e c/ RP;64.0;1;202401.0;IDE - Desempenho;0.6
20;Gestão da Saúde;302 - Índice de acompanham. adequado s. infantil 1º ano;1.2;;"[0.82; 1]";0.82;1.0;"[0.82; 1]";0.82;1.0;"[0.93; 1]";0.93;1.0;"[0.93; 1]";0.93;1.0;302;"[0,93;1]";"[0,82;0,93[U]1;1]";0.93;1.0;0.82;1.0;Índice de acompanham. adequado s. infantil 1º ano;0.875;1;202401.0;IDE - Desempenho;0.6
21;Gestão da Saúde;308 - Proporção grávidas com ecografia 2º trimestre;1.2;;"[60; 100]";60.0;100.0;"[60; 100]";60.0;100.0;"[80; 100]";80.0;100.0;"[80; 100]";80.0;100.0;308;"[80;100]";"[60;80[U]100;100]";80.0;100.0;60.0;100.0;Proporção grávidas com ecografia 2º trimestre;70.0;1;202401.0;IDE - Desempenho;0.6
22;Gestão da Saúde;310 - Índice realização exames laborat. 1º trim. grav.;1.2;;"[0.62; 1]";0.62;1.0;"[0.62; 1]";0.62;1.0;"[0.79; 1]";0.79;1.0;"[0.79; 1]";0.79;1.0;310;"[0,79;1]";"[0,62;0,79[U]1;1]";0.79;1.0;0.62;1.0;Índice realização exames laborat. 1º trim. grav.;0.705;1;202401.0;IDE - Desempenho;0.6
23;Gestão da Saúde;311 - Índice realização exames laborat. 2º trim. grav.;1.2;;"[0.4; 1]";0.4;1.0;"[0.4; 1]";0.4;1.0;"[0.54; 1]";0.54;1.0;"[0.54; 1]";0.54;1.0;311;"[0,54;1]";"[0,4;0,54[U]1;1]";0.54;1.0;0.4;1.0;Índice realização exames laborat. 2º trim. grav.;0.47;1;202401.0;IDE - Desempenho;0.6
24;Gestão da Saúde;312 - Índice realização exames laborat. 3º trim. grav.;1.2;;"[0.3; 1]";0.3;1.0;"[0.3; 1]";0.3;1.0;"[0.43; 1]";0.43;1.0;"[0.43; 1]";0.43;1.0;312;"[0,43;1]";"[0,3;0,43[U]1;1]";0.43;1.0;0.3;1.0;Índice realização exames laborat. 3º trim. grav.;0.365;1;202401.0;IDE - Desempenho;0.6
25;Gestão da Saúde;384 - Propor. RN cuja mãe tem registo de gravidez;1.2;;"[89; 100]";89.0;100.0;"[80; 100]";80.0;100.0;"[94; 100]";94.0;100.0;"[90; 100]";90.0;100.0;384;"[90;100]";"[80;90[U]100;100]";90.0;100.0;80.0;100.0;Propor. RN cuja mãe tem registo de gravidez;85.0;1;202401.0;IDE - Desempenho;0.6
26;Gestão da Saúde;397 - Prop. fumador c/ int. breve ou muito breve 1 ano;1.2;;"[15; 100]";15.0;100.0;"[15; 100]";15.0;100.0;"[22; 100]";22.0;100.0;"[25; 100]";25.0;100.0;397;"[25;100]";"[15;25[U]100;100]";25.0;100.0;15.0;100.0;Prop. fumador c/ int. breve ou muito breve 1 ano;20.0;1;202401.0;IDE - Desempenho;0.6
27;Gestão da Saúde;404 - Incidência anual de pessoas em abstin. tabág. 12M;1.2;;"[20; 10000]";20.0;10000.0;"[20; 10000]";20.0;10000.0;"[60; 10000]";60.0;10000.0;"[60; 10000]";60.0;10000.0;404;"[60;10000]";"[20;60[U]10000;10000]";60.0;10000.0;20.0;10000.0;Incidência anual de pessoas em abstin. tabág. 12M;40.0;1;202401.0;IDE - Desempenho;0.6
28;Gestão da Saúde;435 - Proporção utentes com vacina gripe gratuita SNS;1.2;;"[62; 100]";62.0;100.0;"[62; 100]";62.0;100.0;"[66; 100]";66.0;100.0;"[66; 100]";66.0;100.0;435;"[66;100]";"[62;66[U]100;100]";66.0;100.0;62.0;100.0;Proporção utentes com vacina gripe gratuita SNS;64.0;1;202401.0;IDE - Desempenho;0.6
29;Gestão da Saúde;409 - Prop ute s/ prescr prolo ansio/seda/hipn (ajust);1.2;;"[89; 100]";89.0;100.0;"[89; 100]";89.0;100.0;"[91.5; 100]";91.5;100.0;"[91.5; 100]";91.5;100.0;409;"[91,5;100]";"[89;91,5[U]100;100]";91.5;100.0;89.0;100.0;Prop ute s/ prescr prolo ansio/seda/hipn (ajust);90.25;1;202401.0;IDE - Desempenho;0.6
30;Gestão da Doença;20 - Proporção hipertensos < 65 A, com PA < 150/90;1.5;;"[45; 100]";45.0;100.0;"[45; 100]";45.0;100.0;"[67; 100]";67.0;100.0;"[67; 100]";67.0;100.0;20;"[67;100]";"[45;67[U]100;100]";67.0;100.0;45.0;100.0;Proporção hipertensos < 65 A, com PA < 150/90;56.0;1;202401.0;IDE - Desempenho;0.75
31;Gestão da Doença;23 - Proporção hipertensos com risco CV (3 A);1.5;;"[65; 100]";65.0;100.0;"[60; 100]";60.0;100.0;"[80; 100]";80.0;100.0;"[80; 100]";80.0;100.0;23;"[80;100]";"[60;80[U]100;100]";80.0;100.0;60.0;100.0;Proporção hipertensos com risco CV (3 A);70.0;1;202401.0;IDE - Desempenho;0.75
32;Gestão da Doença;36 - Proporção utentes DM com registo de GRT;1.5;;"[60; 100]";60.0;100.0;"[60; 100]";60.0;100.0;"[75; 100]";75.0;100.0;"[75; 100]";75.0;100.0;36;"[75;100]";"[60;75[U]100;100]";75.0;100.0;60.0;100.0;Proporção utentes DM com registo de GRT;67.5;1;202401.0;IDE - Desempenho;0.75
33;Gestão da Doença;37 - Proporção DM c/ cons. enf. vigil. DM último ano;1.5;;"[70; 100]";70.0;100.0;"[70; 100]";70.0;100.0;"[87; 100]";87.0;100.0;"[87; 100]";87.0;100.0;37;"[87;100]";"[70;87[U]100;100]";87.0;100.0;70.0;100.0;Proporção DM c/ cons. enf. vigil. DM último ano;78.5;1;202401.0;IDE - Desempenho;0.75
34;Gestão da Doença;39 - Proporção DM c/ última HbA1c <= 8,0%;1.5;;"[55; 100]";55.0;100.0;"[50; 100]";50.0;100.0;"[70; 100]";70.0;100.0;"[70; 100]";70.0;100.0;39;"[70;100]";"[50;70[U]100;100]";70.0;100.0;50.0;100.0;Proporção DM c/ última HbA1c <= 8,0%;60.0;1;202401.0;IDE - Desempenho;0.75
35;Gestão da Doença;49 - Proporção utentes c/ DPOC, c/ FeV1 em 3 anos;1.5;;"[30; 100]";30.0;100.0;"[30; 100]";30.0;100.0;"[60; 100]";60.0;100.0;"[60; 100]";60.0;100.0;49;"[60;100]";"[30;60[U]100;100]";60.0;100.0;30.0;100.0;Proporção utentes c/ DPOC, c/ FeV1 em 3 anos;45.0;1;202401.0;IDE - Desempenho;0.75
36;Gestão da Doença;274 - Propor. DM2 c/ indic. insul., em terap. adequada;1.5;;"[65; 100]";65.0;100.0;"[65; 100]";65.0;100.0;"[82; 100]";82.0;100.0;"[82; 100]";82.0;100.0;274;"[82;100]";"[65;82[U]100;100]";82.0;100.0;65.0;100.0;Propor. DM2 c/ indic. insul., em terap. adequada;73.5;1;202401.0;IDE - Desempenho;0.75
37;Gestão da Doença;275 - Proporção novos DM2 em terap. c/ metform. monot.;1.5;;"[55; 100]";55.0;100.0;"[50; 100]";50.0;100.0;"[70; 100]";70.0;100.0;"[70; 100]";70.0;100.0;275;"[70;100]";"[50;70[U]100;100]";70.0;100.0;50.0;100.0;Proporção novos DM2 em terap. c/ metform. monot.;60.0;1;202401.0;IDE - Desempenho;0.75
38;Gestão da Doença;314 - Proporção DM com PA >= 140/90 mmHg;1.5;;"[0; 22]";0.0;22.0;"[0; 28]";0.0;28.0;"[0; 12]";0.0;12.0;"[0; 15]";0.0;15.0;314;"[0;15]";"[0;0[U]15;28]";0.0;15.0;0.0;28.0;Proporção DM com PA >= 140/90 mmHg;21.5;1;202401.0;IDE - Desempenho;0.75
39;Gestão da Doença;315 - Proporção DM com C-LDL < 100 mg/dl;1.5;;"[33; 100]";33.0;100.0;"[33; 100]";33.0;100.0;"[48; 100]";48.0;100.0;"[48; 100]";48.0;100.0;315;"[48;100]";"[33;48[U]100;100]";48.0;100.0;33.0;100.0;Proporção DM com C-LDL < 100 mg/dl;40.5;1;202401.0;IDE - Desempenho;0.75
40;Gestão da Doença;380 - Prop. adultos c/ asma/DPOC/bronq. cr., com diagn.;1.5;;"[74; 100]";74.0;100.0;"[74; 100]";74.0;100.0;"[81; 100]";81.0;100.0;"[81; 100]";81.0;100.0;380;"[81;100]";"[74;81[U]100;100]";81.0;100.0;74.0;100.0;Prop. adultos c/ asma/DPOC/bronq. cr., com diagn.;77.5;1;202401.0;IDE - Desempenho;0.75
41;Gestão da Doença;436 - Proporção DPOC >= 40A, c/ cons. vigil. DPOC 1A;1.5;;"[35; 100]";35.0;100.0;"[35; 100]";35.0;100.0;"[70; 100]";70.0;100.0;"[70; 100]";70.0;100.0;436;"[70;100]";"[35;70[U]100;100]";70.0;100.0;35.0;100.0;Proporção DPOC >= 40A, c/ cons. vigil. DPOC 1A;52.5;1;202401.0;IDE - Desempenho;0.75
42;Gestão da Doença;437 - Proporção asma >= 18A, c/ cons. vigil. asma 1A;1.5;;"[35; 100]";35.0;100.0;"[35; 100]";35.0;100.0;"[49; 100]";49.0;100.0;"[49; 100]";49.0;100.0;437;"[49;100]";"[35;49[U]100;100]";49.0;100.0;35.0;100.0;Proporção asma >= 18A, c/ cons. vigil. asma 1A;42.0;1;202401.0;IDE - Desempenho;0.75
43;Qualificação da Prescrição;341 - Despesa PVP medic. pres. compart. p/ insc. padrão;8.0;;"[0; 140]";0.0;140.0;"[0; 163]";0.0;163.0;"[0; 130]";0.0;130.0;"[0; 133]";0.0;133.0;341;"[0;133]";"[0;0[U]133;163]";0.0;133.0;0.0;163.0;Despesa PVP medic. pres. compart. p/ insc. padrão;148.0;1;202401.0;IDE - Desempenho;4.0
44;Qualificação da Prescrição;354 - Despesa MCDT prescr. p/ insc. padrão (p. conv.);10.0;;"[0; 49]";0.0;49.0;"[0; 57]";0.0;57.0;"[0; 42.5]";0.0;42.5;"[0; 47]";0.0;47.0;354;"[0;47]";"[0;0[U]47;57]";0.0;47.0;0.0;57.0;Despesa MCDT prescr. p/ insc. padrão (p. conv.);52.0;1;202401.0;IDE - Desempenho;5.0
45;Integração de Cuidados;365 - Taxa internam. evitáveis popul. adulta (ajust.);7.0;;"[0; 950]";0.0;950.0;"[0; 620]";0.0;620.0;"[0; 650]";0.0;650.0;"[0; 480]";0.0;480.0;365;"[0;480]";"[0;0[U]480;620]";0.0;480.0;0.0;620.0;Taxa internam. evitáveis popul. adulta (ajust.);550.0;1;202212.0;IDE - Desempenho;3.5
46;Integração de Cuidados;412 - [Cons. dia UF inscr.] / ([cons. dia] + [urgênc.]);10.0;;"[40; 95]";40.0;95.0;"[40; 95]";40.0;95.0;"[60; 85]";60.0;85.0;"[60; 85]";60.0;85.0;412;"[60;85]";"[40;60[U]85;95]";60.0;85.0;40.0;95.0;[Cons. dia UF inscr.] / ([cons. dia] + [urgênc.]);50.0;1;202401.0;IDE - Desempenho;5.0
47;Gestão da Doença;261 - Proporção utentes DM c/ aval. risco úlcera pé;1.5;;"[70; 100]";70.0;100.0;"[70; 100]";70.0;100.0;"[87; 100]";87.0;100.0;"[87; 100]";87.0;100.0;261;"[87;100]";"[70;87[U]100;100]";87.0;100.0;70.0;100.0;Proporção utentes DM c/ aval. risco úlcera pé;78.5;1;202401.0;IDE - Desempenho;0.75
48;;IDE;100.0;;;;;;;;;;;;;;IDE;;;;;;;;50.0;1;;;50.0
