,id,Nome abreviado,Designação,Descrição do Indicador,Área | Subárea | Dimensão,Intervalo Esperado,Intervalo Aceitável,Área clínica,Anos Disponíveis,Intervalo Aceitável 2023,Mínimo Aceitável 2023,Máximo Aceitável 2023,Intervalo Aceitável 2024,Mínimo Aceitável 2024,Máximo Aceitável 2024,Intervalo Esperado 2023,Mínimo Esperado 2023,Máximo Esperado 2023,Intervalo Esperado 2024,Mínimo Esperado 2024,Máximo Esperado 2024,ide,idg,search_indexes,link_sdm,bicsp
12,11,Proporção gráv. c/ consulta méd. vigil. 1º trim.,"Proporção de grávidas com 1ª consulta médica de vigilância da gravidez, realizada no 1º trimestre","Indicador que exprime a proporção entre o número de grávidas que realizaram a 1ª consulta médica de vigilância da gravidez no 1º trimestre de gestação e o número de grávidas cujo fim do 1º trimestre coincide com o período em análise do denominador.
Numerador: Contagem de grávidas que realizaram a 1ª consulta médica de vigilância da gravidez no 1º trimestre.
Denominador: Contagem de grávidas.",Desempenho | Gestão da Saúde | Saúde da Mulher,"Ano de 2023: [91; 100]
Ano de 2024: [91; 100]","Ano de 2023: [85; 100]
Ano de 2024: [85; 100]",Saúde Materna,"2023, 2024",[85; 100],85.0,100.0,[85; 100],85.0,100.0,[91; 100],91.0,100.0,[91; 100],91.0,100.0,True,True,"11 proporcao grav. c/ consulta med. vigil. 1o trim. proporcao de gravidas com 1a consulta medica de vigilancia da gravidez, realizada no 1o trimestre saude materna desempenho | gestao da saude | saude da mulher",https://sdm.min-saude.pt/BI.aspx?id=11,True
13,110,Taxa de utilização de consultas de PF (enf.),Taxa de utilização de consultas de enfermagem em planeamento familiar,"Indicador que exprime a proporção de MIF, que tiveram uma consulta de enfermagem de planeamento familiar nos últimos 12 meses.
Numerador: Contagem de MIF que tiveram pelo menos uma consulta de enfermagem de planeamento familiar nos últimos 12 meses.
Denominador: Contagem de MIF.",---,---,---,Planeamento Familiar,"2023, 2024",---,,,---,,,---,,,---,,,False,False,110 taxa de utilizacao de consultas de pf (enf.) taxa de utilizacao de consultas de enfermagem em planeamento familiar planeamento familiar ---,https://sdm.min-saude.pt/BI.aspx?id=110,False
14,111,Nº médio cons. médic. vig. s. infantil 2º ano vida,Número médio de consultas médicas de vigilância de saúde infantil no 2º ano de vida,"Indicador que exprime o número médio de consultas médicas de vigilância em saúde infantil realizadas às crianças que completam 2 anos de idade no período em análise (associadas ao programa de saúde infantil).
Numerador: Contagem de consultas médicas de saúde infantil realizadas no intervalo [11; 23[ meses de idade.
Denominador: Contagem de crianças vigiadas em SI com 2 ano de vida.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,111 no medio cons. medic. vig. s. infantil 2o ano vida numero medio de consultas medicas de vigilancia de saude infantil no 2o ano de vida saude infantil e juvenil ---,https://sdm.min-saude.pt/BI.aspx?id=111,False
15,112,Nº médio cons. enfer. vig. s. infantil 2º ano vida,Número médio de consultas de enfermagem de vigilância de saúde infantil no 2º ano de vida,"Indicador que exprime o número médio de consultas de enfermagem de vigilância em saúde infantil realizadas às crianças que completam 2 anos de idade no período em análise (associadas ao programa de saúde infantil).
Numerador: Contagem de consultas de enfermagem de saúde infantil realizadas no intervalo [11; 23[ meses de idade.
Denominador: Contagem de crianças vigiadas em SI com 2 anos de vida.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,112 no medio cons. enfer. vig. s. infantil 2o ano vida numero medio de consultas de enfermagem de vigilancia de saude infantil no 2o ano de vida saude infantil e juvenil ---,https://sdm.min-saude.pt/BI.aspx?id=112,False
16,113,Percent. crianças c/ 3+ cons. méd. vigil. 2º ano,Percentagem de crianças com pelo menos 3 consultas médicas de saúde infantil no 2º ano de vida,"Indicador que exprime a proporção entre o número de crianças que efetuaram pelo menos 3 consultas médicas de vigilância durante o 2º ano de vida, no total de crianças associadas ao programa de vigilância que completaram 2 anos de idade.
Numerador: Contagem de crianças que efetuaram pelo menos 3 consultas médicas de vigilância, durante o 2º ano de vida.
Denominador: Contagem de crianças vigiadas em programa, que completaram 2 anos de idade.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,113 percent. criancas c/ 3+ cons. med. vigil. 2o ano percentagem de criancas com pelo menos 3 consultas medicas de saude infantil no 2o ano de vida saude infantil e juvenil ---,https://sdm.min-saude.pt/BI.aspx?id=113,False
17,114,Percent. crianças c/ 3+ cons. enf. vigil. 2º ano,Percentagem de crianças com pelo menos 3 consultas de enfermagem de saúde infantil no 2º ano de vida,"Indicador que exprime a proporção entre o número de crianças que efetuaram pelo menos 3 consultas de enfermagem de vigilância durante o 2º ano de vida, no total de crianças associadas ao programa de vigilância que completaram 2 anos de idade.
Numerador: Contagem de crianças que efetuaram pelo menos 3 consultas de enfermagem de vigilância, durante o 2º ano de vida.
Denominador: Contagem de crianças vigiadas em programa, que completaram 2 anos de idade.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,114 percent. criancas c/ 3+ cons. enf. vigil. 2o ano percentagem de criancas com pelo menos 3 consultas de enfermagem de saude infantil no 2o ano de vida saude infantil e juvenil ---,https://sdm.min-saude.pt/BI.aspx?id=114,False
18,115,Taxa visit. domic. médicas por 1.000 inscritos,Taxa de visitas domiciliárias médicas por 1.000 inscritos,"Exprime o número de domicílios médicos realizados por ano por cada 1000 utentes inscritos.
Numerador: Contagem de domicílios médicos realizados por ano.
Denominador: Contagem de utentes inscritos.",---,---,---,Transversal,"2023, 2024",---,,,---,,,---,,,---,,,False,False,115 taxa visit. domic. medicas por 1.000 inscritos taxa de visitas domiciliarias medicas por 1.000 inscritos transversal ---,https://sdm.min-saude.pt/BI.aspx?id=115,False
19,116,Nº médio cons. enfermagem saúde materna,Número médio de consultas de enfermagem em saúde materna,"Indicador que exprime o número médio de consultas de enfermagem em saúde materna realizadas à grávidas (associadas ao programa de saúde materna).
Numerador: Contagem de consultas de enfermagem de saúde materna.
Denominador: Contagem de grávidas vigiadas.",---,---,---,Saúde Materna,"2023, 2024",---,,,---,,,---,,,---,,,False,False,116 no medio cons. enfermagem saude materna numero medio de consultas de enfermagem em saude materna saude materna ---,https://sdm.min-saude.pt/BI.aspx?id=116,False
20,117,Percent. grávidas c/ 6+ cons. vigil. enferm.,Percentagem de grávidas com 6 ou mais consultas de enfermagem em saúde materna,"Indicador que exprime a proporção grávidas vigiadas que realizaram pelo menos 6 consultas de enfermagem de vigilância da gravidez.
Numerador: Contagem de grávidas que realizaram pelo menos 6 consultas de enfermagem de vigilância da gravidez.
Denominador: Contagem de grávidas vigiadas.",---,---,---,Saúde Materna,"2023, 2024",---,,,---,,,---,,,---,,,False,False,117 percent. gravidas c/ 6+ cons. vigil. enferm. percentagem de gravidas com 6 ou mais consultas de enfermagem em saude materna saude materna ---,https://sdm.min-saude.pt/BI.aspx?id=117,False
21,118,Taxa visit.domic. enfermagem por 1.000 inscritos,Taxa de visitas domiciliárias de enfermagem por 1.000 inscritos,"Exprime o número de domicílios de enfermagem realizados por ano por cada 1000 utentes inscritos.
Numerador: Contagem de domicílios de enfermagem realizados no período em análise.
Denominador: Contagem de utentes com [
inscrição ativa
] durante pelo menos um dia do período em análise.",---,---,---,Transversal,"2023, 2024",---,,,---,,,---,,,---,,,False,False,118 taxa visit.domic. enfermagem por 1.000 inscritos taxa de visitas domiciliarias de enfermagem por 1.000 inscritos transversal ---,https://sdm.min-saude.pt/BI.aspx?id=118,False
22,119,"Percent. puérperas vigiadas, c/ domicílio enferm.",Percentagem de puérperas vigiadas na UF com visita domiciliária de enfermagem,"Indicador que exprime a proporção de puérperas vigiadas que receberam visita domiciliária de enfermagem.
Numerador: Contagem de puérperas com pelo menos uma visita domiciliária de enfermagem.
Denominador: Contagem de puérperas vigiadas em programa de saúde materna.",---,---,---,Saúde Materna,"2023, 2024",---,,,---,,,---,,,---,,,False,False,"119 percent. puerperas vigiadas, c/ domicilio enferm. percentagem de puerperas vigiadas na uf com visita domiciliaria de enfermagem saude materna ---",https://sdm.min-saude.pt/BI.aspx?id=119,False
23,12,Propor. gráv. c/ 6+ cons. vig. enf. grav./puerp.,Proporção de grávidas com 6 ou mais consultas de enfermagem em saúde materna (gravidez e puerpério),"Indicador que exprime a proporção de puérperas que realizaram pelo menos 6 consultas de enfermagem de vigilância da gravidez ou puerpério.
Numerador: Contagem de puérperas que realizaram pelo menos 6 consultas de enfermagem de vigilância da gravidez e puerpério.
Denominador: Contagem de puérperas.",---,---,---,Saúde Materna,"2023, 2024",---,,,---,,,---,,,---,,,False,False,12 propor. grav. c/ 6+ cons. vig. enf. grav./puerp. proporcao de gravidas com 6 ou mais consultas de enfermagem em saude materna (gravidez e puerperio) saude materna ---,https://sdm.min-saude.pt/BI.aspx?id=12,False
24,120,Percent. de RN c/ domic. enf. até 15º dia de vida,Percentagem de recém-nascidos com consulta domiciliária de enfermagem realizada até ao 15º dia de vida,"Indicador que exprime proporção de recém-nascidos, que tiveram pelo menos um domicílio de enfermagem durante os primeiros 15 dias de vida.
Numerador: Contagem de recém-nascidos que tiveram pelo menos um domicílio de enfermagem durante os primeiros 15 dias de vida.
Denominador: Contagem de recém-nascidos.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,120 percent. de rn c/ domic. enf. ate 15o dia de vida percentagem de recem-nascidos com consulta domiciliaria de enfermagem realizada ate ao 15o dia de vida saude infantil e juvenil ---,https://sdm.min-saude.pt/BI.aspx?id=120,False
25,121,Nº médio cons. médicas vig. s. infantil 0-11 meses,Número médio de consultas médicas de vigilância de saúde infantil dos 0 aos 11 meses,"Indicador que exprime o número médio de consultas médicas de vigilância em saúde infantil realizadas às crianças que completam 1 ano de idade no período em análise (associadas ao programa de saúde infantil).
Numerador: Contagem de consultas médicas de saúde infantil realizadas no intervalo [0; 11[ meses de idade.
Denominador: Contagem de crianças vigiadas em SI com 1 ano de vida.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,121 no medio cons. medicas vig. s. infantil 0-11 meses numero medio de consultas medicas de vigilancia de saude infantil dos 0 aos 11 meses saude infantil e juvenil ---,https://sdm.min-saude.pt/BI.aspx?id=121,False
26,122,Nº médio cons. enferm. vig. s. infantil 0-11 meses,Número médio de consultas enfermagem de vigilância de saúde infantil dos 0 aos 11 meses,"Indicador que exprime o número médio de consultas de enfermagem de vigilância em saúde infantil realizadas às crianças que completam 1 ano de idade no período em análise (associadas ao programa de saúde infantil).
Numerador: Contagem de consultas de enfermagem de saúde infantil realizadas no intervalo [0; 11[ meses de idade.
Denominador: Contagem de crianças vigiadas em SI com 1 ano de vida.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,122 no medio cons. enferm. vig. s. infantil 0-11 meses numero medio de consultas enfermagem de vigilancia de saude infantil dos 0 aos 11 meses saude infantil e juvenil ---,https://sdm.min-saude.pt/BI.aspx?id=122,False
27,123,Percent. crianças c/ 6+ cons. méd. vigil. 1º ano,Percentagem de crianças com pelo menos 6 consultas de vigilância de saúde infantil dos 0 aos 11 meses,"Indicador que exprime a proporção entre o número de crianças que efetuaram pelo menos 6 consultas médicas de vigilância durante o 1º ano de vida, no total de crianças associadas ao programa de vigilância que completaram 1 ano de idade.
Numerador: Contagem de crianças que efetuaram pelo menos 6 consultas médicas de vigilância, durante o 1º ano de vida.
Denominador: Contagem de crianças vigiadas em programa, que completaram 1 ano de idade.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,123 percent. criancas c/ 6+ cons. med. vigil. 1o ano percentagem de criancas com pelo menos 6 consultas de vigilancia de saude infantil dos 0 aos 11 meses saude infantil e juvenil ---,https://sdm.min-saude.pt/BI.aspx?id=123,False
28,124,Percent. crianças c/ 6+ cons. enf. vigil. 1º ano,Percentagem de crianças com pelo menos 6 consultas de enfermagem de vigilância de saúde infantil dos 0 aos 11 meses,"Indicador que exprime a proporção entre o número de crianças que efetuaram pelo menos 6 consultas de enfermagem de vigilância durante o 1º ano de vida, no total de crianças associadas ao programa de vigilância que completaram 1 ano de idade.
Numerador: Contagem de crianças que efetuaram pelo menos 6 consultas de enfermagem de vigilância, durante o 1º ano de vida.
Denominador: Contagem de crianças vigiadas em programa, que completaram 1 ano de idade.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,124 percent. criancas c/ 6+ cons. enf. vigil. 1o ano percentagem de criancas com pelo menos 6 consultas de enfermagem de vigilancia de saude infantil dos 0 aos 11 meses saude infantil e juvenil ---,https://sdm.min-saude.pt/BI.aspx?id=124,False
29,125,Percent. hipertensos c/ PA 6 meses,Percentagem de hipertensos com registo de pressão arterial nos últimos 6 meses,"Indicador que exprime a proporção de utentes com hipertensão arterial com registo de pelo menos 1 registo de pressão arterial no último semestre.
Numerador: Contagem de utentes inscritos com hipertensão arterial com registo de pelo menos 1 registo de pressão arterial no último semestre.
Denominador: Contagem de utentes inscritos com hipertensão arterial vigiados em programa.",---,---,---,Hipertensão Arterial,"2023, 2024",---,,,---,,,---,,,---,,,False,False,125 percent. hipertensos c/ pa 6 meses percentagem de hipertensos com registo de pressao arterial nos ultimos 6 meses hipertensao arterial ---,https://sdm.min-saude.pt/BI.aspx?id=125,False
30,126,Percent. hipertensos c/ PA 6 meses,Percentagem de hipertensos com registo de pressão arterial nos últimos 6 meses,"Indicador que exprime a proporção de utentes com hipertensão arterial com registo de pelo menos 1 registo de pressão arterial no último semestre.
Numerador: Contagem de utentes inscritos com hipertensão arterial com registo de pelo menos 1 registo de pressão arterial no último semestre.
Denominador: Contagem de utentes inscritos com hipertensão arterial vigiados em programa.",---,---,---,Hipertensão Arterial,"2023, 2024",---,,,---,,,---,,,---,,,False,False,126 percent. hipertensos c/ pa 6 meses percentagem de hipertensos com registo de pressao arterial nos ultimos 6 meses hipertensao arterial ---,https://sdm.min-saude.pt/BI.aspx?id=126,False
31,127,Percent. de hipertensos com PA em cada semestre,Percentagem de hipertensos com pelo menos uma avaliação de pressão arterial em cada semestre,"Indicador que exprime a proporção de utentes com hipertensão arterial, com registo de pelo menos 2 pressões arteriais nos últimos 12 meses (abrangendo 2 semestres).
Numerador: Contagem de utentes inscritos com hipertensão arterial, com registo de pelo menos 2 pressões arteriais nos últimos 12 meses (abrangendo 2 semestres).
Denominador: Contagem de utentes inscritos com hipertensão arterial, seguidos em programa.",---,---,---,Hipertensão Arterial,"2023, 2024",---,,,---,,,---,,,---,,,False,False,127 percent. de hipertensos com pa em cada semestre percentagem de hipertensos com pelo menos uma avaliacao de pressao arterial em cada semestre hipertensao arterial ---,https://sdm.min-saude.pt/BI.aspx?id=127,False
32,128,Percent. de hipertensos com PA em cada semestre,Percentagem de hipertensos com pelo menos uma avaliação de pressão arterial em cada semestre,"Indicador que exprime a proporção de utentes com hipertensão arterial, com registo de pelo menos 2 pressões arteriais nos últimos 12 meses (abrangendo 2 semestres).
Numerador: Contagem de utentes inscritos com hipertensão arterial, com registo de pelo menos 2 pressões arteriais nos últimos 12 meses (abrangendo 2 semestres).
Denominador: Contagem de utentes inscritos com hipertensão arterial, seguidos em programa.",---,---,---,Hipertensão Arterial,"2023, 2024",---,,,---,,,---,,,---,,,False,False,128 percent. de hipertensos com pa em cada semestre percentagem de hipertensos com pelo menos uma avaliacao de pressao arterial em cada semestre hipertensao arterial ---,https://sdm.min-saude.pt/BI.aspx?id=128,False
33,129,Percent. hipertensos c/ IMC últimos 12 meses,Percentagem de hipertensos com registo de IMC nos últimos 12 meses,"Indicador que exprime a proporção de utentes com hipertensão arterial, com registo de IMC nos últimos 12 meses.
Numerador: Contagem de utentes inscritos com hipertensão arterial, com registo de IMC nos últimos 12 meses.
Denominador: Contagem de utentes inscritos com hipertensão arterial, vigiados em programa.",---,---,---,Hipertensão Arterial,"2023, 2024",---,,,---,,,---,,,---,,,False,False,129 percent. hipertensos c/ imc ultimos 12 meses percentagem de hipertensos com registo de imc nos ultimos 12 meses hipertensao arterial ---,https://sdm.min-saude.pt/BI.aspx?id=129,False
34,13,Proporção de puérperas com domicílio de enfermagem,Proporção de puérperas com consulta domiciliária de enfermagem,"Indicador que exprime a proporção de puérperas que receberam visita domiciliária de enfermagem.
Numerador: Contagem de puérperas com pelo menos uma visita domiciliária de enfermagem.
Denominador: Contagem de puérperas.",---,---,---,Saúde Materna,"2023, 2024",---,,,---,,,---,,,---,,,False,False,13 proporcao de puerperas com domicilio de enfermagem proporcao de puerperas com consulta domiciliaria de enfermagem saude materna ---,https://sdm.min-saude.pt/BI.aspx?id=13,False
35,130,"Percent. crianças 2 anos, c/ peso e altura 1 ano",Percentagem de inscritos com 2 anos com peso e altura registados nos últimos 12 meses,"Indicador que exprime a proporção de crianças com peso e altura avaliados no intervalo [1; 2[ anos (entre as que completam 2 anos).
Numerador: Contagem de crianças com peso e altura avaliados no intervalo [1; 2[ anos.
Denominador: Contagem de crianças que completam 2 anos.",---,---,---,Saúde Infantil e Juvenil,"2023, 2024",---,,,---,,,---,,,---,,,False,False,"130 percent. criancas 2 anos, c/ peso e altura 1 ano percentagem de inscritos com 2 anos com peso e altura registados nos ultimos 12 meses saude infantil e juvenil ---",https://sdm.min-saude.pt/BI.aspx?id=130,False
36,131,"Percent. mulheres [50; 70[ A, c/ mamogr. (2 anos)","Percentagem de mulheres entre [50; 70[ anos, com mamografia registada nos últimos dois anos","Indicador que exprime a proporção entre as mulheres com registo de mamografia nos últimos dois anos e as mulheres com idades compreendidas no intervalo [50, 70[ anos.
Numerador: Contagem de mulheres com registo de mamografia nos últimos dois anos.
Denominador: Contagem de mulheres com idades compreendidas no intervalo [50, 70[ anos.",---,---,---,Rastreio Oncológico,"2023, 2024",---,,,---,,,---,,,---,,,False,False,"131 percent. mulheres [50; 70[ a, c/ mamogr. (2 anos) percentagem de mulheres entre [50; 70[ anos, com mamografia registada nos ultimos dois anos rastreio oncologico ---",https://sdm.min-saude.pt/BI.aspx?id=131,False
37,132,"Percent. mulheres [25; 64[ A, c/ colpoc. atuali.","Percentagem de mulheres entre os 25 e 64 anos, com colpocitologia atualizada","Indicador que exprime a proporção entre as mulheres que realizaram colpocitologia nos últimos três anos e as mulheres com idades compreendidas no intervalo [25, 65[ anos.
Numerador: Contagem de mulheres que realizaram colpocitologia nos últimos três anos.
Denominador: Contagem de mulheres com idades compreendidas no intervalo [25, 65[ anos.",---,---,---,Rastreio Oncológico,"2023, 2024",---,,,---,,,---,,,---,,,False,False,"132 percent. mulheres [25; 64[ a, c/ colpoc. atuali. percentagem de mulheres entre os 25 e 64 anos, com colpocitologia atualizada rastreio oncologico ---",https://sdm.min-saude.pt/BI.aspx?id=132,False
