id,codigo,codigo_siars,nome_abreviado,designacao,objetivo,formula,unidade_de_medida,output,estado_do_indicador,area,subarea,dimensao,tipo_de_indicador,area_clinica,inclusao_de_utentes_no_indicador,prazo_para_registos,link,nome_indicador,min_aceitavel,min_esperado,max_esperado,max_aceitavel,intervalo_aceitavel,intervalo_esperado,indexing,id_sdm
11,6.09.01,2013.011.01,Proporção gráv. c/ consulta méd. vigil. 1º trim.,"Proporção de grávidas com 1ª consulta médica de vigilância da gravidez, realizada no 1º trimestre","Monitorização do Programa de Vigilância em Saúde Materna, área da vigilância precoce da grávida, realizada por médicos.",AA / BB x 100,%,Proporção de grávidas,Com dados desde Dezembro de 2012,Desempenho,Gestão da Saúde,Saúde da Mulher,Processo,Saúde Materna,Utentes inscritos durante pelo menos um dia do acontecimento monitorizado,5 dias,https://sdm.min-saude.pt/BI.aspx?id=011&CLUSTERS=S,Proporção gráv. c/ consulta méd. vigil. 1o trim.,85.0,91.0,100.0,100.0,[85; 100],[91; 100],"11 proporcao grav. c/ consulta med. vigil. 1o trim. proporcao de gravidas com 1a consulta medica de vigilancia da gravidez, realizada no 1o trimestre desempenho gestao da saude saude da mulher processo saude materna",[11](https://sdm.min-saude.pt/BI.aspx?id=011&CLUSTERS=S)
12,6.26.01,2013.012.01,Propor. gráv. c/ 6+ cons. vig. enf. grav./puerp.,Proporção de grávidas com 6 ou mais consultas de enfermagem em saúde materna (gravidez e puerpério),"Monitorização do Programa de Vigilância em Saúde Materna, área de acesso às consultas de enfermagem de saúde materna e puerpério.",AA / BB x 100,%,Proporção de grávidas,Com dados desde Dezembro de 2012,,,,Processo,Saúde Materna,Utentes inscritos durante um mínimo de N meses do acontecimento monitorizado,5 dias,https://sdm.min-saude.pt/BI.aspx?id=012&CLUSTERS=S,,,,,,,,12 propor. grav. c/ 6+ cons. vig. enf. grav./puerp. proporcao de gravidas com 6 ou mais consultas de enfermagem em saude materna (gravidez e puerperio) nan nan nan processo saude materna,[12](https://sdm.min-saude.pt/BI.aspx?id=012&CLUSTERS=S)
13,6.42.01,2013.013.01,Proporção de puérperas com domicílio de enfermagem,Proporção de puérperas com consulta domiciliária de enfermagem,"Monitorização do programa de vigilância em saúde materna, área dos cuidados domiciliários de enfermagem a puérperas.",AA / BB x 100,%,Proporção de puérperas,Com dados desde Dezembro de 2012,,,,Processo,Saúde Materna,Utentes inscritos durante pelo menos um dia do acontecimento monitorizado,5 dias,https://sdm.min-saude.pt/BI.aspx?id=013&CLUSTERS=S,,,,,,,,13 proporcao de puerperas com domicilio de enfermagem proporcao de puerperas com consulta domiciliaria de enfermagem nan nan nan processo saude materna,[13](https://sdm.min-saude.pt/BI.aspx?id=013&CLUSTERS=S)
14,6.12.01,2013.014.01,Proporção RN c/ cons. méd. vigil. até 28 dias vida,Proporção de recém-nascidos com pelo menos uma consulta médica de vigilância realizada até aos 28 dias de vida,Monitorizar a vigilância precoce dos recém-nascidos.,AA / BB x 100,%,Proporção de recém-nascidos,Com dados desde Dezembro de 2012,Desempenho,Gestão da Saúde,Saúde Infantil e Juvenil,Processo,Saúde Infantil e Juvenil,Utentes inscritos durante pelo menos um dia do acontecimento monitorizado,30 dias,https://sdm.min-saude.pt/BI.aspx?id=014&CLUSTERS=S,Proporção RN c/ cons. méd. vigil. até 28 dias vida,90.0,96.5,100.0,100.0,[90; 100],[96.5; 100],14 proporcao rn c/ cons. med. vigil. ate 28 dias vida proporcao de recem-nascidos com pelo menos uma consulta medica de vigilancia realizada ate aos 28 dias de vida desempenho gestao da saude saude infantil e juvenil processo saude infantil e juvenil,[14](https://sdm.min-saude.pt/BI.aspx?id=014&CLUSTERS=S)
15,6.42.04,2013.015.01,Proporção RN c/ domicílio enf. até 15º dia de vida,Proporção de recém-nascidos com consulta domiciliária de enfermagem realizada até ao 15º dia de vida,"Monitorizar os cuidados prestados aos recém-nascidos. Parâmetro ""domicílios de enfermagem a recém-nascidos"".",AA / BB x 100,%,Proporção de recém-nascidos,Com dados desde Dezembro de 2012,Desempenho,Gestão da Saúde,Saúde Infantil e Juvenil,Processo,Saúde Infantil e Juvenil,Utentes inscritos durante pelo menos um dia do acontecimento monitorizado,30 dias,https://sdm.min-saude.pt/BI.aspx?id=015&CLUSTERS=S,Proporção RN c/ domicílio enf. até 15o dia de vida,10.0,50.0,100.0,100.0,[10; 100],[50; 100],15 proporcao rn c/ domicilio enf. ate 15o dia de vida proporcao de recem-nascidos com consulta domiciliaria de enfermagem realizada ate ao 15o dia de vida desempenho gestao da saude saude infantil e juvenil processo saude infantil e juvenil,[15](https://sdm.min-saude.pt/BI.aspx?id=015&CLUSTERS=S)
16,6.22.01,2013.016.01,Proporção crianças c/ 6+ cons. méd. vigil. 1º ano,Proporção de crianças com pelo menos 6 consultas médicas de vigilância de saúde infantil no 1º ano de vida,Acompanhamento do Programa de Saúde Infantil - 1º ano de vida. Monitorizar o cumprimento das orientações técnicas definidas para a vigilância deste grupo vulnerável.,AA / BB x 100,%,Proporção de crianças,Com dados desde Dezembro de 2012,Desempenho,Gestão da Saúde,Saúde Infantil e Juvenil,Processo,Saúde Infantil e Juvenil,Utentes inscritos durante um mínimo de N meses do acontecimento monitorizado,5 dias,https://sdm.min-saude.pt/BI.aspx?id=016&CLUSTERS=S,Proporção crianças c/ 6+ cons. méd. vigil. 1o ano,50.0,89.0,100.0,100.0,[50; 100],[89; 100],16 proporcao criancas c/ 6+ cons. med. vigil. 1o ano proporcao de criancas com pelo menos 6 consultas medicas de vigilancia de saude infantil no 1o ano de vida desempenho gestao da saude saude infantil e juvenil processo saude infantil e juvenil,[16](https://sdm.min-saude.pt/BI.aspx?id=016&CLUSTERS=S)
17,6.23.01,2013.017.01,Proporção crianças c/ 3+ cons. méd. vigil. 2º ano,Proporção de crianças com pelo menos 3 consultas médicas de vigilância de saúde infantil no 2º ano de vida,Acompanhamento do Programa de Saúde Infantil - 2º ano de vida. Monitorizar o cumprimento das orientações técnicas definidas para a vigilância deste grupo vulnerável.,AA / BB x 100,%,Proporção de crianças,Com dados desde Dezembro de 2012,Desempenho,Gestão da Saúde,Saúde Infantil e Juvenil,Processo,Saúde Infantil e Juvenil,Utentes inscritos durante um mínimo de N meses do acontecimento monitorizado,5 dias,https://sdm.min-saude.pt/BI.aspx?id=017&CLUSTERS=S,Proporção crianças c/ 3+ cons. méd. vigil. 2o ano,60.0,87.0,100.0,100.0,[60; 100],[87; 100],17 proporcao criancas c/ 3+ cons. med. vigil. 2o ano proporcao de criancas com pelo menos 3 consultas medicas de vigilancia de saude infantil no 2o ano de vida desempenho gestao da saude saude infantil e juvenil processo saude infantil e juvenil,[17](https://sdm.min-saude.pt/BI.aspx?id=017&CLUSTERS=S)
18,5.13.01,2013.018.01,Proporção de hipertensos com IMC (12 meses),"Proporção de utentes com hipertensão arterial, com pelo menos um registo de IMC nos últimos 12 meses","Monitorizar o acompanhamento dos utentes com hipertensão arterial: parâmetro ""índice de massa corporal (IMC)"".",AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Com dados desde Dezembro de 2012,Desempenho,Gestão da Doença,Hipertensão Arterial,Resultado,Hipertensão Arterial,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=018&CLUSTERS=S,Proporção de hipertensos com IMC (12 meses),65.0,80.0,100.0,100.0,[65; 100],[80; 100],"18 proporcao de hipertensos com imc (12 meses) proporcao de utentes com hipertensao arterial, com pelo menos um registo de imc nos ultimos 12 meses desempenho gestao da doenca hipertensao arterial resultado hipertensao arterial",[18](https://sdm.min-saude.pt/BI.aspx?id=018&CLUSTERS=S)
19,5.10.01,2013.019.01,Proporção de hipertensos com PA em cada semestre,"Proporção de utentes com hipertensão arterial, com registo de pressão arterial em cada semestre","Monitorizar o acompanhamento dos utentes com hipertensão arterial: parâmetro ""registo de pressão arterial"".",AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Com dados desde Dezembro de 2012,Desempenho,Gestão da Doença,Hipertensão Arterial,Resultado,Hipertensão Arterial,Utentes inscritos durante um mínimo de N meses do período em análise,5 dias,https://sdm.min-saude.pt/BI.aspx?id=019&CLUSTERS=S,Proporção de hipertensos com PA em cada semestre,40.0,75.0,100.0,100.0,[40; 100],[75; 100],"19 proporcao de hipertensos com pa em cada semestre proporcao de utentes com hipertensao arterial, com registo de pressao arterial em cada semestre desempenho gestao da doenca hipertensao arterial resultado hipertensao arterial",[19](https://sdm.min-saude.pt/BI.aspx?id=019&CLUSTERS=S)
20,6.20.01,2013.020.01,"Proporção hipertensos < 65 A, com PA < 150/90","Proporção de utentes com hipertensão arterial, com idade inferior a 65 anos, com pressão arterial inferior a 150/90 mmHg","Monitorizar o acompanhamento dos utentes com hipertensão arterial: parâmetro ""resultado da pressão arterial"".",AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Com dados desde Dezembro de 2012,Desempenho,Gestão da Doença,Hipertensão Arterial,Resultado,Hipertensão Arterial,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=020&CLUSTERS=S,"Proporção hipertensos < 65 A, com PA < 150/90",45.0,67.0,100.0,100.0,[45; 100],[67; 100],"20 proporcao hipertensos < 65 a, com pa < 150/90 proporcao de utentes com hipertensao arterial, com idade inferior a 65 anos, com pressao arterial inferior a 150/90 mmhg desempenho gestao da doenca hipertensao arterial resultado hipertensao arterial",[20](https://sdm.min-saude.pt/BI.aspx?id=020&CLUSTERS=S)
21,5.16,2013.021.01,"Proporção hipertensos, c/ prescrição de tiazidas","Proporção de utentes com hipertensão arterial, com prescrição de anti-hipertensores do tipo tiazídico","Monitorizar a prescrição dos utentes com hipertensão arterial e a adequação dessa prescrição às normas publicadas na área da hipertensão, parâmetro ""prescrição de diurético do tipo tiazídico"".",AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Com dados desde Dezembro de 2012,,,,Processo,Hipertensão Arterial,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=021&CLUSTERS=S,,,,,,,,"21 proporcao hipertensos, c/ prescricao de tiazidas proporcao de utentes com hipertensao arterial, com prescricao de anti-hipertensores do tipo tiazidico nan nan nan processo hipertensao arterial",[21](https://sdm.min-saude.pt/BI.aspx?id=021&CLUSTERS=S)
22,5.17,2013.022.01,Proporção hipertensos sem DM c/ prescrição ARA II,"Proporção de utentes com hipertensão arterial, sem diabetes, com prescrição de antagonistas dos recetores da angiotensina II","Monitorizar a prescrição dos utentes com hipertensão arterial e a adequação dessa prescrição às normas publicadas na área da hipertensão, parâmetro ""prescrição de antagonistas dos recetores da angiotensina (ARA) II"".",AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Com dados desde Dezembro de 2012,,,,Processo,Hipertensão Arterial,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=022&CLUSTERS=S,,,,,,,,"22 proporcao hipertensos sem dm c/ prescricao ara ii proporcao de utentes com hipertensao arterial, sem diabetes, com prescricao de antagonistas dos recetores da angiotensina ii nan nan nan processo hipertensao arterial",[22](https://sdm.min-saude.pt/BI.aspx?id=022&CLUSTERS=S)
23,6.21,2013.023.01,Proporção hipertensos com risco CV (3 A),"Proporção de utentes com hipertensão arterial (sem doença cardiovascular nem diabetes), com determinação de risco cardiovascular nos últimos 3 anos","Monitorizar o programa de hipertensão: parâmetro ""risco cardiovascular""",AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Com dados desde Dezembro de 2012,Desempenho,Gestão da Doença,Hipertensão Arterial,Processo,Hipertensão Arterial,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=023&CLUSTERS=S,Proporção hipertensos com risco CV (3 A),65.0,80.0,100.0,100.0,[65; 100],[80; 100],"23 proporcao hipertensos com risco cv (3 a) proporcao de utentes com hipertensao arterial (sem doenca cardiovascular nem diabetes), com determinacao de risco cardiovascular nos ultimos 3 anos desempenho gestao da doenca hipertensao arterial processo hipertensao arterial",[23](https://sdm.min-saude.pt/BI.aspx?id=023&CLUSTERS=S)
24,6.16.01,2013.024.01,Proporção hipertensos com registo de GRT,"Proporção de utentes com hipertensão arterial, com registo da gestão do regime terapêutico (3 itens) no último ano","Monitorizar o programa de hipertensão: parâmetro ""gestão do regime terapêutico""",AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Com dados desde Dezembro de 2012,,,,Processo,Hipertensão Arterial,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=024&CLUSTERS=S,,,,,,,,"24 proporcao hipertensos com registo de grt proporcao de utentes com hipertensao arterial, com registo da gestao do regime terapeutico (3 itens) no ultimo ano nan nan nan processo hipertensao arterial",[24](https://sdm.min-saude.pt/BI.aspx?id=024&CLUSTERS=S)
25,6.35.01,2013.025.01,"Proporção de hipertensos, c/ acompanh. adequado","Proporção de utentes com hipertensão arterial, com acompanhamento adequado",Monitorizar o programa de hipertensão.,AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Com dados desde Março de 2013,,,,Processo,Hipertensão Arterial,Utentes inscritos durante um mínimo de N meses do período em análise,30 dias,https://sdm.min-saude.pt/BI.aspx?id=025&CLUSTERS=S,,,,,,,,"25 proporcao de hipertensos, c/ acompanh. adequado proporcao de utentes com hipertensao arterial, com acompanhamento adequado nan nan nan processo hipertensao arterial",[25](https://sdm.min-saude.pt/BI.aspx?id=025&CLUSTERS=S)
26,6.02.01,2013.026.01,"Proporção hipertensos >= 25A, c/ vacina tétano","Proporção de utentes com hipertensão arterial, com 25 ou mais anos, que têm a vacina antitetânica atualizada","Monitorizar o programa de hipertensão: parâmetro ""vacina antitetânica""",AA / BB x 100,%,Proporção de utentes com hipertensão arterial,Descontinuado em Dezembro de 2016,,,,Processo,Hipertensão Arterial,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=026&CLUSTERS=S,,,,,,,,"26 proporcao hipertensos >= 25a, c/ vacina tetano proporcao de utentes com hipertensao arterial, com 25 ou mais anos, que tem a vacina antitetanica atualizada nan nan nan processo hipertensao arterial",[26](https://sdm.min-saude.pt/BI.aspx?id=026&CLUSTERS=S)
27,6.01.01,2013.027.01,"Proporção crianças 2A, c/ PNV cumprido até 2A","Proporção de crianças com 2 anos, com PNV totalmente cumprido até ao 2º aniversário",Monitorizar o cumprimento do Programa Nacional de Vacinação (PNV) nos utentes com inscrição ativa - coorte dos 2 anos.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2016,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=027&CLUSTERS=S,,,,,,,,"27 proporcao criancas 2a, c/ pnv cumprido ate 2a proporcao de criancas com 2 anos, com pnv totalmente cumprido ate ao 2o aniversario nan nan nan processo saude infantil e juvenil",[27](https://sdm.min-saude.pt/BI.aspx?id=027&CLUSTERS=S)
28,6.01.02,2013.028.01,"Proporção crianças 7A, c/ PNV cumprido até 7A","Proporção de crianças com 7 anos, com PNV totalmente cumprido até ao 7º aniversário",Monitorizar o cumprimento do Programa Nacional de Vacinação (PNV) nos utentes com inscrição ativa - coorte dos 7 anos.,AA / BB x 100,%,Proporção de crianças,Descontinuado em Dezembro de 2016,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=028&CLUSTERS=S,,,,,,,,"28 proporcao criancas 7a, c/ pnv cumprido ate 7a proporcao de criancas com 7 anos, com pnv totalmente cumprido ate ao 7o aniversario nan nan nan processo saude infantil e juvenil",[28](https://sdm.min-saude.pt/BI.aspx?id=028&CLUSTERS=S)
29,6.01.03,2013.029.01,"Proporção jovens 14A, c/ PNV cumprido até 14A","Proporção de jovens com 14 anos, com PNV totalmente cumprido até ao 14º aniversário",Monitorizar o cumprimento do Programa Nacional de Vacinação (PNV) nos utentes com inscrição ativa - coorte dos 14 anos.,AA / BB x 100,%,Proporção de jovens,Descontinuado em Dezembro de 2016,,,,Processo,Saúde Infantil e Juvenil,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=029&CLUSTERS=S,,,,,,,,"29 proporcao jovens 14a, c/ pnv cumprido ate 14a proporcao de jovens com 14 anos, com pnv totalmente cumprido ate ao 14o aniversario nan nan nan processo saude infantil e juvenil",[29](https://sdm.min-saude.pt/BI.aspx?id=029&CLUSTERS=S)
30,6.01.04,2013.030.01,"Proporção idosos ou doença crónica, c/ vac. gripe","Proporção de utentes com diabetes ou com doença respiratória crónica ou com doença cardíaca crónica ou com idade superior a 65 anos, com a vacina da gripe prescrita ou efetuada nos últimos 12 meses","Monitorização do programa de saúde de adultos: Parâmetro ""vacina da gripe""",AA / BB x 100,%,Proporção de utentes,Com dados desde Dezembro de 2012,Desempenho,Gestão da Saúde,Saúde do Idoso,Processo,Respiratório,Utentes inscritos à data de referência do indicador,30 dias,https://sdm.min-saude.pt/BI.aspx?id=030&CLUSTERS=S,"Proporção idosos ou doença crónica, c/ vac. gripe",45.0,55.0,100.0,100.0,[45; 100],[55; 100],"30 proporcao idosos ou doenca cronica, c/ vac. gripe proporcao de utentes com diabetes ou com doenca respiratoria cronica ou com doenca cardiaca cronica ou com idade superior a 65 anos, com a vacina da gripe prescrita ou efetuada nos ultimos 12 meses desempenho gestao da saude saude do idoso processo respiratorio",[30](https://sdm.min-saude.pt/BI.aspx?id=030&CLUSTERS=S)
31,5.13.03,2013.031.01,"Proporção crianças 7A, c/ peso e altura [5; 7[A","Proporção de crianças com 7 anos, com peso e altura registados no intervalo [5; 7[ anos","Monitorizar o programa de saúde infantil e juvenil. Parâmetro ""registo do peso e da altura"".",AA / BB x 100,%,Proporção de crianças,Com dados desde Dezembro de 2012,Desempenho,Gestão da Saúde,Saúde Infantil e Juvenil,Processo,Saúde Infantil e Juvenil,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=031&CLUSTERS=S,"Proporção crianças 7A, c/ peso e altura [5; 7[A",70.0,92.0,100.0,100.0,[70; 100],[92; 100],"31 proporcao criancas 7a, c/ peso e altura [5; 7[a proporcao de criancas com 7 anos, com peso e altura registados no intervalo [5; 7[ anos desempenho gestao da saude saude infantil e juvenil processo saude infantil e juvenil",[31](https://sdm.min-saude.pt/BI.aspx?id=031&CLUSTERS=S)
32,5.13.04,2013.032.01,"Proporção jovens 14A, c/ peso e altura [11; 14[A","Proporção de jovens com 14 anos, com peso e altura registados no intervalo [11; 14[ anos","Monitorizar o programa de saúde infantil e juvenil. Parâmetro ""registo do peso e da altura"".",AA / BB x 100,%,Proporção de jovens,Com dados desde Dezembro de 2012,Desempenho,Gestão da Saúde,Saúde Infantil e Juvenil,Processo,Saúde Infantil e Juvenil,Utentes inscritos à data de referência do indicador,5 dias,https://sdm.min-saude.pt/BI.aspx?id=032&CLUSTERS=S,"Proporção jovens 14A, c/ peso e altura [11; 14[A",50.0,75.0,100.0,100.0,[50; 100],[75; 100],"32 proporcao jovens 14a, c/ peso e altura [11; 14[a proporcao de jovens com 14 anos, com peso e altura registados no intervalo [11; 14[ anos desempenho gestao da saude saude infantil e juvenil processo saude infantil e juvenil",[32](https://sdm.min-saude.pt/BI.aspx?id=032&CLUSTERS=S)
